image_size,bank,neighbors,threshold,calibration_detected,calibration_synthetic_total,test_detected,test_synthetic_total,test_false_rejects,test_good_total,test_synthetic_auc,median_ms,p95_ms
256,512,1,0.6286341476440429,48,84,61,84,0,21,0.9926303854875282,160.9345500182826,179.22848495654762
256,512,9,0.628141212463379,48,84,61,84,0,21,0.9926303854875282,160.21430000546388,174.33477505401243
256,2048,1,0.6264214134216308,44,84,52,84,0,21,0.9954648526077098,199.34500000090338,218.40937000524718
256,2048,9,0.6229463386535645,44,84,52,84,0,21,0.9954648526077098,187.86755000473931,203.44631001062226
384,512,1,0.6461609268188476,55,84,69,84,0,21,0.9985827664399093,408.83579998626374,434.94613997172564
384,512,9,0.6461590576171875,54,84,69,84,0,21,0.9985827664399093,395.5871000071056,421.0802900226554
384,2048,1,0.6370823478698731,53,84,66,84,0,21,0.9982993197278911,461.70729998266324,470.88458999060094
384,2048,9,0.6339747810363769,54,84,66,84,0,21,0.9982993197278911,449.1470500070136,471.65934500517324
512,512,1,0.6373954391479493,69,84,76,84,0,21,0.9974489795918368,666.6095999826211,705.9340199804865
512,512,9,0.6371961402893067,69,84,76,84,0,21,0.9974489795918368,676.7737499903888,700.5473450029967
512,2048,1,0.6214800834655763,69,84,75,84,0,21,0.996031746031746,759.899550001137,778.6186900222674
512,2048,9,0.6189283752441406,70,84,76,84,0,21,0.996031746031746,762.3749499907717,805.1633850118378
